model,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,holdout_mae,holdout_r2,best_params
ElasticNet,428.49519565478795,16.174304483011944,0.4828398833548869,0.07549681163817186,383.5785433471232,0.6467652784174763,"{'model__alpha': 0.5, 'model__l1_ratio': 0.8}"
Ridge,429.2454855986897,14.854756150266896,0.48221868476235114,0.07527389827303367,381.30263333097855,0.6551977840165046,{'model__alpha': 10.0}
LinearRegression,433.31272384243675,7.785310364003187,0.483160446301291,0.06233525211699474,385.0350852383716,0.6528466378299944,{}
GradientBoosting,511.7564408768826,35.854348423480545,0.2586167067754058,0.08979264275867456,508.778652463542,0.43912240062020824,{}
RandomForest,517.5706800918607,37.06860844214116,0.2508010727733829,0.11069199384490506,511.690998629111,0.4139008425143914,{}
MeanBaseline,609.4299589873356,33.31849704584687,-0.0335851101633375,0.03741301253067299,699.3877220559065,-0.0303247630317105,{}
